k,coverage_rate,protected_coverage_rate,expected_utility,protected_expected_utility,unprotected_expected_utility,fairness_met,coverage_met,execution_time
1,54.459999999999994%,39.46%,15261.08,11058.33,16379.8,True,True,8.086333513259888
2,75.81%,51.849999999999994%,19081.98,10503.73,20627.6,True,True,8.273837804794312
3,89.59%,80.27%,22255.15,16469.35,22904.27,True,True,8.452402114868164
4,94.78999999999999%,91.96%,22811.95,13455.0,23276.01,True,True,8.661442518234253
5,95.73%,92.71000000000001%,23063.74,13114.8,23528.42,True,True,8.89285397529602
6,95.73%,92.71000000000001%,23216.72,13114.8,23698.28,True,True,9.170579433441162
7,95.73%,92.71000000000001%,23275.83,13114.8,23736.51,True,True,9.437121868133545
8,95.73%,92.71000000000001%,23318.35,13114.8,23768.06,True,True,9.770878076553345
9,95.73%,92.71000000000001%,23325.83,13114.8,23775.52,True,True,10.08942461013794
