k,coverage_rate,protected_coverage_rate,expected_utility,protected_expected_utility,unprotected_expected_utility,fairness_met,coverage_met,execution_time
1,77.60000000000001%,54.730000000000004%,11201.26,7900.73,12107.43,True,True,64.44669795036316
2,77.60000000000001%,54.730000000000004%,14746.11,7900.73,15903.21,True,True,65.33167243003845
3,95.26%,88.39%,17488.27,12891.25,18012.32,True,True,66.45418906211853
4,97.05%,93.07%,18803.5,13928.52,18999.36,True,True,67.31000876426697
5,97.05%,93.07%,19547.8,13928.52,19743.2,True,True,68.42659950256348
6,97.05%,93.07%,20062.87,13928.52,20359.83,True,True,69.71259474754333
7,98.17%,95.93%,20529.53,14477.89,20671.76,True,True,70.813645362854
8,98.94%,97.7%,20798.33,14637.55,20876.57,True,True,71.9080605506897
9,99.77000000000001%,99.67%,20928.25,14594.43,20959.59,True,True,73.06551361083984
10,99.77000000000001%,99.67%,21036.06,14594.43,21070.7,True,True,74.37168312072754
11,99.85000000000001%,99.77000000000001%,21084.88,14600.77,21104.58,True,True,75.6340823173523
12,99.85000000000001%,99.77000000000001%,21117.57,14600.77,21136.31,True,True,77.07052302360535
13,99.85000000000001%,99.77000000000001%,21136.44,14600.77,21146.17,True,True,78.45707035064697
14,99.91%,99.85000000000001%,21154.12,14615.91,21161.8,True,True,79.93788528442383
15,99.91%,99.85000000000001%,21168.78,14615.91,21176.54,True,True,81.28029155731201
16,99.91%,99.85000000000001%,21171.91,14615.91,21179.6,True,True,82.66303706169128
17,99.92%,99.92999999999999%,21173.47,12229.66,21179.6,True,True,84.08742809295654
18,99.92%,99.92999999999999%,21174.67,12229.66,21180.91,True,True,85.4759030342102
