k,coverage_rate,protected_coverage_rate,expected_utility,protected_expected_utility,unprotected_expected_utility,fairness_met,coverage_met,execution_time
1,92.41%,94.22%,16872.88,17203.41,16782.13,True,True,317.4349625110626
2,95.53%,95.95%,20411.34,17649.14,20549.62,True,True,320.3892788887024
3,95.53%,95.95%,22803.97,17649.14,23288.78,True,True,323.75846457481384
4,95.53%,95.95%,24531.72,17649.14,25168.33,True,True,327.3067555427551
5,95.53%,95.95%,26034.3,17649.14,26412.44,True,True,330.8940453529358
6,96.57%,96.95%,27252.48,17964.63,27496.99,True,True,334.81851172447205
7,97.72999999999999%,98.44000000000001%,27973.14,18273.73,28062.51,True,True,338.6596591472626
8,98.18%,99.21%,28185.04,18340.85,28228.73,True,True,343.42730355262756
