k,coverage_rate,protected_coverage_rate,expected_utility,protected_expected_utility,unprotected_expected_utility,fairness_met,coverage_met,execution_time
1,92.41%,94.22%,13757.56,14027.07,13683.57,True,True,38.973901987075806
2,97.2%,96.55%,16013.75,14428.21,16204.2,True,True,39.695563554763794
3,98.11%,97.98%,17349.76,14744.26,17309.08,True,True,40.29491710662842
4,98.65%,98.42999999999999%,17427.45,14479.82,17390.23,True,True,41.00942301750183
5,98.65%,98.42999999999999%,18320.43,14479.82,18321.92,True,True,41.786092042922974
6,99.08%,99.00999999999999%,18542.14,14583.66,18482.42,True,True,42.630385398864746
7,99.86%,99.8%,18657.78,14618.23,18597.55,True,True,43.4749493598938
8,99.86%,99.8%,18730.94,14618.23,18643.99,True,True,44.32532835006714
9,99.87%,99.89%,18732.76,12227.12,18643.99,True,True,45.246158599853516
