k,coverage_rate,protected_coverage_rate,expected_utility,protected_expected_utility,unprotected_expected_utility,fairness_met,coverage_met,execution_time
1,26.5%,18.099999999999998%,5110.55,3489.95,5555.48,True,True,72.42006158828735
2,38.87%,35.61%,7306.58,6599.63,7500.67,True,True,72.94484877586365
3,50.92%,55.26%,9559.52,10248.25,9363.48,True,True,73.53266930580139
4,56.8%,60.199999999999996%,11396.61,11492.75,11291.44,True,True,74.33747005462646
5,62.31%,62.18%,12517.77,11839.41,12602.95,True,True,75.16935133934021
6,66.95%,70.97%,13221.15,12517.59,13134.05,True,True,76.06222987174988
7,66.95%,70.97%,13864.01,12517.59,13711.33,True,True,76.99080276489258
8,69.56%,74.19%,14179.75,12414.51,14006.76,True,True,77.92537069320679
9,70.24000000000001%,74.87%,14298.15,12495.59,14125.88,True,True,78.86069846153259
10,72.14%,76.79%,14437.55,10447.12,14264.61,True,True,79.7964928150177
11,72.14%,76.79%,14567.86,10447.12,14402.0,True,True,80.8723669052124
12,72.91%,78.29%,14701.86,10586.3,14501.09,True,True,81.87479519844055
13,72.91%,78.29%,14762.37,10586.3,14567.86,True,True,83.01949214935303
14,73.44000000000001%,78.53999999999999%,14840.86,10492.09,14658.03,True,True,84.10715532302856
15,73.44000000000001%,78.53999999999999%,14900.5,10492.09,14724.25,True,True,85.33712363243103
16,73.83999999999999%,79.54%,14936.97,9473.35,14745.82,True,True,86.51988244056702
17,73.83999999999999%,79.54%,14964.44,9473.35,14773.05,True,True,87.65634822845459
18,74.11%,80.28%,14999.27,8680.98,14791.4,True,True,88.7479944229126
19,74.37%,80.5%,15024.4,8453.98,14817.67,True,True,90.01242709159851
20,74.37%,80.5%,15036.03,8453.98,14830.3,True,True,91.25294780731201
21,74.37%,80.5%,15045.32,8453.98,14836.52,True,True,92.3851010799408
22,74.37%,80.5%,15051.75,8453.98,14842.87,True,True,93.60608792304993
23,74.37%,80.5%,15057.41,8453.98,14849.14,True,True,94.8411476612091
24,74.37%,80.5%,15060.39,8453.98,14852.42,True,True,96.0304274559021
25,74.37%,80.5%,15061.46,8453.98,14853.22,True,True,97.29563045501709
26,74.38%,80.5%,15061.99,7652.73,14853.9,True,True,98.60189914703369
27,74.38%,80.5%,15062.28,7652.73,14854.21,True,True,99.84768414497375
28,74.38%,80.5%,15062.57,7652.73,14854.29,True,True,101.03209447860718
