k,coverage_rate,protected_coverage_rate,expected_utility,protected_expected_utility,unprotected_expected_utility,fairness_met,coverage_met,execution_time
1,92.41%,94.22%,16872.88,17203.41,16782.13,True,True,35.26902413368225
2,93.58%,94.95%,18378.55,17431.27,18310.11,True,True,36.207950592041016
3,98.04%,97.39999999999999%,19877.35,17816.4,19973.33,True,True,36.85589098930359
4,98.04%,97.39999999999999%,21178.05,17816.4,21369.12,True,True,37.7347469329834
5,98.04%,97.39999999999999%,21686.08,17816.4,21711.12,True,True,38.57124447822571
6,98.04%,97.39999999999999%,22188.04,17816.4,22238.43,True,True,39.504796743392944
7,99.62%,99.35000000000001%,22475.52,18120.39,22507.29,True,True,40.55774426460266
8,99.62%,99.35000000000001%,22635.69,18120.39,22595.02,True,True,41.463361740112305
9,99.77000000000001%,99.67%,22695.63,18190.62,22641.29,True,True,42.43937134742737
10,99.77000000000001%,99.67%,22744.0,18190.62,22696.81,True,True,43.45941758155823
11,99.77000000000001%,99.67%,22790.38,18190.62,22728.33,True,True,44.39911699295044
12,99.77000000000001%,99.67%,22815.67,18190.62,22749.89,True,True,45.332801818847656
13,99.91%,99.85000000000001%,22839.01,17995.82,22771.05,True,True,46.306241512298584
14,99.94%,99.9%,22845.65,17961.88,22776.88,True,True,47.368189573287964
15,99.96000000000001%,99.94%,22847.83,17371.83,22778.27,True,True,48.46080565452576
