k,coverage_rate,protected_coverage_rate,expected_utility,protected_expected_utility,unprotected_expected_utility,fairness_met,coverage_met,execution_time
1,83.45%,74.0%,15203.8,13483.24,15676.19,True,True,45.31322479248047
2,95.26%,88.39%,18171.98,16254.57,18582.02,True,True,46.11198353767395
3,95.26%,88.39%,19472.67,16254.57,19977.81,True,True,47.00302267074585
4,95.26%,88.39%,20664.1,16254.57,21169.72,True,True,47.859500885009766
5,96.89999999999999%,92.75%,21472.15,17320.9,21674.39,True,True,48.8042266368866
6,99.62%,99.35000000000001%,21973.56,18120.39,21979.98,True,True,49.946672201156616
7,99.62%,99.35000000000001%,22340.91,18120.39,22308.79,True,True,51.009273290634155
8,99.62%,99.35000000000001%,22500.8,18120.39,22409.59,True,True,52.068021297454834
9,99.62%,99.35000000000001%,22549.16,18120.39,22465.11,True,True,52.99670743942261
10,99.88%,99.8%,22593.15,17985.02,22500.0,True,True,53.872427225112915
11,99.88%,99.8%,22636.84,17985.02,22523.93,True,True,54.777931213378906
12,99.88%,99.8%,22669.55,17985.02,22547.44,True,True,55.761425256729126
13,99.91%,99.85000000000001%,22690.73,17995.82,22564.54,True,True,56.674798250198364
14,99.94%,99.9%,22697.37,17961.88,22570.37,True,True,57.80316138267517
15,99.96000000000001%,99.94%,22699.55,17371.83,22571.77,True,True,58.78990960121155
16,99.96000000000001%,99.95%,22699.88,14802.2,22571.77,True,True,59.87695932388306
