k,coverage_rate,protected_coverage_rate,expected_utility,protected_expected_utility,unprotected_expected_utility,fairness_met,coverage_met,execution_time
1,92.41%,94.22%,16872.88,17203.41,16782.13,True,True,169.4495153427124
2,95.53%,95.95%,20411.34,17649.14,20549.62,True,True,171.5139274597168
3,95.53%,95.95%,22803.97,17649.14,23288.78,True,True,173.45685577392578
4,96.61%,96.93%,24574.58,17931.65,24922.85,True,True,175.55977416038513
5,96.61%,96.93%,26196.74,17931.65,26293.15,True,True,177.71495580673218
6,97.58%,97.92%,27321.16,18165.21,27469.8,True,True,179.99080681800842
7,98.28%,98.56%,28230.95,18356.81,28297.35,True,True,182.3171947002411
8,98.28%,98.56%,28277.58,18356.81,28347.97,True,True,184.85876893997192
9,98.28%,98.56%,28285.13,18356.81,28354.56,True,True,187.79077672958374
10,98.28%,98.56%,28285.23,18356.81,28354.68,True,True,190.96643137931824
