k,coverage_rate,protected_coverage_rate,expected_utility,protected_expected_utility,unprotected_expected_utility,fairness_met,coverage_met,execution_time
1,26.5%,18.099999999999998%,4368.88,2983.48,4749.24,True,True,70.83268976211548
2,36.17%,23.61%,6443.3,4054.13,7066.47,True,True,71.47100949287415
3,44.32%,37.980000000000004%,7893.9,6526.12,8219.38,True,True,72.15083432197571
4,55.379999999999995%,55.11000000000001%,9235.06,8323.66,9358.15,True,True,72.79471516609192
5,60.57%,61.22%,9864.3,8884.98,9957.12,True,True,73.51719069480896
6,60.9%,61.49%,10437.92,8938.5,10554.77,True,True,74.53629851341248
7,63.82%,64.89%,10653.5,7663.21,10760.78,True,True,75.37837171554565
8,64.25%,65.19%,10823.8,7705.76,10937.94,True,True,76.27035474777222
9,68.72%,69.49%,11107.41,7393.82,11224.45,True,True,77.14781880378723
10,68.72%,69.49%,11246.26,7393.82,11375.29,True,True,78.08455991744995
11,68.72%,69.49%,11362.15,7393.82,11502.72,True,True,79.05191040039062
12,69.3%,69.8%,11447.93,7359.15,11599.74,True,True,79.88239860534668
13,69.71000000000001%,70.25%,11487.39,7055.87,11638.18,True,True,80.90921211242676
14,69.99%,70.89999999999999%,11518.38,6971.56,11658.3,True,True,81.83596658706665
15,70.30999999999999%,71.36%,11550.76,6920.17,11686.6,True,True,82.7647614479065
16,70.46%,71.53%,11580.32,6909.94,11715.93,True,True,83.84904766082764
17,70.46%,71.53%,11598.41,6909.94,11733.8,True,True,84.91144180297852
18,70.46%,71.53%,11614.54,6909.94,11752.17,True,True,86.0084638595581
19,70.46%,71.53%,11626.32,6909.94,11763.86,True,True,87.05379676818848
20,70.46%,71.53%,11635.99,6909.94,11772.95,True,True,88.17717432975769
21,70.46%,71.53%,11645.55,6909.94,11783.48,True,True,89.38387513160706
22,70.56%,71.65%,11655.32,6745.6,11792.9,True,True,90.52279686927795
23,70.56%,71.65%,11662.01,6745.6,11800.14,True,True,91.61834812164307
24,70.56%,71.65%,11664.62,6745.6,11803.02,True,True,92.74422097206116
