k,coverage_rate,protected_coverage_rate,expected_utility,protected_expected_utility,unprotected_expected_utility,fairness_met,coverage_met,execution_time
1,26.5%,18.099999999999998%,5110.55,3489.95,5555.48,True,True,73.16561222076416
2,38.550000000000004%,37.75%,7363.49,7138.58,7418.29,True,True,73.70824527740479
3,50.39%,54.449999999999996%,9391.76,10001.55,9217.4,True,True,74.4381422996521
4,56.269999999999996%,59.39%,11228.85,11246.05,11145.36,True,True,75.10095167160034
5,61.78%,61.38%,12363.68,11592.71,12471.28,True,True,75.88443803787231
6,62.32%,62.07%,13083.82,11767.39,13182.67,True,True,76.69506978988647
7,66.97%,70.86%,13787.19,12445.56,13713.77,True,True,77.47121262550354
8,69.57%,74.08%,14102.93,12342.49,14009.2,True,True,78.42202305793762
9,69.57%,74.08%,14291.4,12342.49,14124.5,True,True,79.37615609169006
10,72.02%,76.64999999999999%,14453.08,9246.94,14284.01,True,True,80.4862596988678
11,72.02%,76.64999999999999%,14583.39,9246.94,14421.39,True,True,81.49847483634949
12,72.56%,77.12%,14707.04,9335.94,14546.45,True,True,82.4744246006012
13,72.74000000000001%,77.55%,14817.91,9411.68,14636.56,True,True,83.44400644302368
14,73.22999999999999%,77.77%,14896.58,9351.29,14725.51,True,True,84.4516863822937
15,73.79%,79.36999999999999%,14968.56,8648.71,14760.72,True,True,85.55848431587219
16,73.79%,79.36999999999999%,15034.29,8648.71,14833.61,True,True,86.60275292396545
17,73.79%,79.36999999999999%,15094.8,8648.71,14900.39,True,True,87.84897351264954
18,74.17%,80.28%,15138.58,8124.89,14928.17,True,True,89.10195016860962
19,74.42999999999999%,80.5%,15163.71,7841.52,14954.44,True,True,90.28463435173035
20,74.42999999999999%,80.5%,15183.6,7841.52,14974.08,True,True,91.50645303726196
21,74.42999999999999%,80.5%,15195.24,7841.52,14986.71,True,True,92.69927668571472
22,74.42999999999999%,80.5%,15209.08,7841.52,14992.95,True,True,93.86052894592285
23,74.47%,80.51%,15220.22,7843.52,15005.1,True,True,95.03806352615356
24,74.47%,80.51%,15229.4,7843.52,15015.43,True,True,96.30206036567688
25,74.47%,80.51%,15235.06,7843.52,15021.7,True,True,97.56463122367859
26,74.47%,80.51%,15238.71,7843.52,15024.15,True,True,98.71263432502747
27,74.51%,80.62%,15241.81,7560.12,15025.36,True,True,99.87583613395691
28,74.51%,80.62%,15244.78,7560.12,15028.64,True,True,101.13259363174438
29,74.51%,80.62%,15245.92,7560.12,15029.88,True,True,102.38838148117065
30,74.51%,80.62%,15246.69,7560.12,15030.59,True,True,103.69137144088745
31,74.51%,80.62%,15246.99,7560.12,15030.66,True,True,104.8861882686615
32,74.51%,80.62%,15247.27,7560.12,15030.97,True,True,105.9443986415863
33,74.51%,80.62%,15247.28,7560.12,15030.99,True,True,106.95864200592041
