k,coverage_rate,protected_coverage_rate,expected_utility,protected_expected_utility,unprotected_expected_utility,fairness_met,coverage_met,execution_time
1,17.21%,14.11%,4247.59,3482.4,4457.68,True,False,318.06487369537354
2,74.94%,74.89%,13490.22,12373.46,13566.07,True,True,319.87956166267395
3,99.11999999999999%,98.72%,19354.45,18134.71,19453.61,True,True,322.87279057502747
4,99.38%,99.09%,22037.89,18228.88,22284.87,True,True,326.0906217098236
5,99.38%,99.09%,24069.7,18228.88,24600.43,True,True,329.6465630531311
6,99.38%,99.09%,25914.31,18228.88,26268.37,True,True,333.31440019607544
7,99.45%,99.33999999999999%,27388.09,18333.7,27547.04,True,True,337.7395808696747
8,99.51%,99.49%,28282.71,18377.08,28346.6,True,True,342.0800392627716
9,99.51%,99.49%,28317.48,18377.08,28375.8,True,True,346.50194025039673
