k,coverage_rate,protected_coverage_rate,expected_utility,protected_expected_utility,unprotected_expected_utility,fairness_met,coverage_met,execution_time
1,92.41%,94.22%,16872.88,17203.41,16782.13,True,True,151.09458351135254
2,95.53%,95.95%,20411.34,17649.14,20549.62,True,True,152.0643744468689
3,98.04%,97.39999999999999%,21254.53,17816.4,21488.04,True,True,153.09188652038574
4,98.95%,98.76%,22014.18,18132.2,22039.56,True,True,154.31410002708435
5,99.77000000000001%,99.67%,22163.9,18194.36,22184.66,True,True,155.60644102096558
6,99.77000000000001%,99.67%,22163.9,18194.36,22184.66,True,True,157.04825234413147
