k,coverage_rate,protected_coverage_rate,expected_utility,protected_expected_utility,unprotected_expected_utility,fairness_met,coverage_met,execution_time
1,26.5%,18.099999999999998%,4368.88,2983.48,4749.24,True,True,25.05256962776184
2,38.87%,35.61%,6564.91,6093.15,6694.43,True,True,25.438560485839844
3,38.87%,35.61%,6846.26,6093.15,6998.26,True,True,25.92321467399597
4,38.87%,35.61%,6885.6,6093.15,7040.67,True,True,26.41411066055298
5,38.87%,35.61%,6887.13,6093.15,7042.41,True,True,26.943487882614136
6,44.59%,40.52%,7555.51,6455.03,7736.6,True,True,27.48342275619507
