k,coverage_rate,protected_coverage_rate,expected_utility,protected_expected_utility,unprotected_expected_utility,fairness_met,coverage_met,execution_time
1,92.41%,94.22%,16872.88,17203.41,16782.13,True,True,84.16462635993958
2,95.53%,95.95%,20411.34,17649.14,20549.62,True,True,85.1283209323883
3,96.64%,97.2%,22026.42,18017.87,22011.24,True,True,86.04702830314636
4,97.81%,98.68%,22889.24,18326.96,22659.6,True,True,87.1030650138855
5,97.81%,98.68%,23589.64,18326.96,23415.2,True,True,88.19824123382568
6,97.94%,98.76%,24102.15,18349.75,23938.63,True,True,89.35058426856995
7,98.5%,99.5%,24507.95,18427.71,24279.39,True,True,90.50390291213989
8,99.61%,99.71%,24892.23,18376.94,24745.81,True,True,91.78088665008545
9,99.64%,99.74%,25027.06,18387.06,24837.08,True,True,93.08444833755493
10,99.64%,99.74%,25150.03,18387.06,24938.79,True,True,94.44177293777466
11,99.64%,99.74%,25272.05,18387.06,25037.55,True,True,96.01417350769043
12,99.65%,99.79%,25317.77,18397.06,25085.62,True,True,97.53885960578918
13,99.89%,99.91%,25361.3,18278.97,25135.0,True,True,99.14566922187805
14,99.89%,99.91%,25389.97,18278.97,25151.79,True,True,100.74586939811707
15,99.89%,99.91%,25416.2,18278.97,25171.78,True,True,102.46320033073425
16,99.89%,99.91%,25428.77,18278.97,25183.41,True,True,104.21006798744202
17,99.89%,99.92999999999999%,25440.22,18282.18,25196.04,True,True,106.03420782089233
18,99.89%,99.92999999999999%,25448.66,18282.18,25204.17,True,True,107.89137434959412
19,99.89%,99.92999999999999%,25456.45,18282.18,25209.73,True,True,110.03574395179749
20,99.94%,99.99%,25464.53,18035.18,25217.17,True,True,111.79726243019104
21,99.95%,99.99%,25468.37,18034.44,25221.38,True,True,113.47032928466797
22,99.95%,99.99%,25470.44,18034.44,25223.72,True,True,115.33468079566956
23,99.96000000000001%,100.0%,25471.38,17990.86,25224.32,True,True,117.13561654090881
