k,coverage_rate,protected_coverage_rate,expected_utility,protected_expected_utility,unprotected_expected_utility,fairness_met,coverage_met,execution_time
1,26.5%,18.099999999999998%,5110.55,3489.95,5555.48,True,True,41.9089252948761
2,37.31%,24.310000000000002%,6690.64,4183.38,7319.79,True,True,42.33710503578186
3,47.38%,39.96%,8551.07,6961.96,8912.12,True,True,42.83212327957153
4,58.41%,51.2%,9607.1,7928.63,9962.76,True,True,43.345743894577026
5,59.78%,52.7%,10320.13,8227.82,10693.69,True,True,43.98674511909485
6,59.78%,52.7%,10677.65,8227.82,11099.52,True,True,44.58800768852234
7,62.71%,56.10000000000001%,10893.22,6394.06,11305.53,True,True,45.236976146698
8,62.71%,56.10000000000001%,11070.76,6394.06,11476.69,True,True,45.943511724472046
9,62.71%,56.10000000000001%,11147.85,6394.06,11559.78,True,True,46.674670457839966
10,62.760000000000005%,56.11000000000001%,11298.4,6396.58,11724.74,True,True,47.303802728652954
11,62.760000000000005%,56.11000000000001%,11311.03,6396.58,11738.39,True,True,47.95863318443298
12,62.760000000000005%,56.11000000000001%,11320.7,6396.58,11747.48,True,True,48.65610074996948
13,62.760000000000005%,56.11000000000001%,11328.63,6396.58,11756.01,True,True,49.39470553398132
14,62.760000000000005%,56.11000000000001%,11333.36,6396.58,11761.21,True,True,50.15899682044983
15,62.79%,56.15%,11334.78,5365.02,11762.35,True,True,51.02270293235779
