k,coverage_rate,protected_coverage_rate,expected_utility,protected_expected_utility,unprotected_expected_utility,fairness_met,coverage_met,execution_time
1,92.41%,94.22%,16872.88,17203.41,16782.13,True,True,44.92758011817932
2,98.04%,97.39999999999999%,18685.92,17816.4,18781.41,True,True,45.75075817108154
3,98.5%,98.11%,19994.1,18011.99,19917.68,True,True,46.55114436149597
4,98.5%,98.11%,21294.79,18011.99,21313.46,True,True,47.32476353645325
5,98.5%,98.11%,21796.75,18011.99,21840.78,True,True,48.13891816139221
6,98.5%,98.11%,22146.41,18011.99,22190.58,True,True,49.19486975669861
7,98.5%,98.11%,22431.65,18011.99,22410.56,True,True,50.03323841094971
8,99.62%,99.35000000000001%,22635.42,18120.39,22608.09,True,True,51.053849935531616
9,99.62%,99.35000000000001%,22769.68,18120.39,22693.3,True,True,52.06155228614807
10,99.62%,99.35000000000001%,22818.04,18120.39,22748.82,True,True,53.060930013656616
11,99.88%,99.8%,22862.02,17985.02,22783.71,True,True,54.09396004676819
12,99.88%,99.8%,22905.72,17985.02,22807.64,True,True,55.098838806152344
13,99.88%,99.8%,22938.43,17985.02,22831.15,True,True,56.13262414932251
14,99.91%,99.85000000000001%,22945.06,17951.07,22836.98,True,True,57.23097538948059
15,99.94%,99.9%,22966.25,17961.88,22854.08,True,True,58.25839567184448
16,99.96000000000001%,99.94%,22968.43,17371.83,22855.48,True,True,59.25810980796814
