k,coverage_rate,protected_coverage_rate,expected_utility,protected_expected_utility,unprotected_expected_utility,fairness_met,coverage_met,execution_time
1,26.5%,18.099999999999998%,5110.55,3489.95,5555.48,True,True,42.06178641319275
2,38.87%,35.61%,7306.58,6599.63,7500.67,True,True,42.50317740440369
3,51.39%,48.1%,8823.25,8112.59,9018.36,True,True,43.09537720680237
4,56.69%,49.91%,10059.29,8463.16,10448.51,True,True,43.67819809913635
5,58.56%,51.68000000000001%,10842.24,8827.55,11261.88,True,True,44.25185585021973
6,61.4%,55.03%,11051.05,6760.56,11460.25,True,True,44.87554574012756
7,62.129999999999995%,55.53%,11160.49,6685.62,11579.5,True,True,45.50609827041626
8,62.129999999999995%,55.53%,11237.58,6685.62,11662.6,True,True,46.24454855918884
9,62.35000000000001%,55.81%,11252.29,5593.18,11676.28,True,True,46.91299057006836
