k,coverage_rate,protected_coverage_rate,expected_utility,protected_expected_utility,unprotected_expected_utility,fairness_met,coverage_met,execution_time
1,92.41%,94.22%,16872.88,17203.41,16782.13,True,True,35.77375364303589
2,98.04%,97.39999999999999%,18685.92,17816.4,18781.41,True,True,36.577357053756714
3,98.5%,98.11%,19994.1,18011.99,19917.68,True,True,37.39329528808594
4,98.5%,98.11%,20799.25,18011.99,20785.32,True,True,38.2676727771759
5,98.5%,98.11%,21301.21,18011.99,21312.63,True,True,39.111454010009766
6,98.5%,98.11%,21650.87,18011.99,21662.43,True,True,39.97307991981506
7,98.5%,98.11%,21936.11,18011.99,21882.41,True,True,40.81253218650818
8,99.62%,99.35000000000001%,22139.88,18120.39,22079.94,True,True,41.75469899177551
9,99.62%,99.35000000000001%,22274.14,18120.39,22165.15,True,True,42.77558875083923
10,99.88%,99.8%,22318.12,17985.02,22200.05,True,True,43.84566950798035
11,99.88%,99.8%,22361.81,17985.02,22223.97,True,True,44.81397318840027
12,99.88%,99.8%,22394.53,17985.02,22247.48,True,True,45.83804655075073
13,99.91%,99.85000000000001%,22415.71,17995.82,22264.59,True,True,46.86486196517944
14,99.92%,99.89%,22417.89,17405.77,22265.98,True,True,47.84434676170349
