k,coverage_rate,protected_coverage_rate,expected_utility,protected_expected_utility,unprotected_expected_utility,fairness_met,coverage_met,execution_time
1,19.650000000000002%,29.07%,6080.51,8997.02,5304.17,True,False,48.57966208457947
2,93.84%,96.1%,18383.06,16187.83,17922.58,True,True,48.91616702079773
3,97.65%,97.89999999999999%,23686.24,16663.99,23768.52,True,True,49.339067220687866
4,97.84%,98.15%,26339.55,16793.76,26143.72,True,True,49.85599708557129
5,98.09%,98.45%,27130.09,16890.32,26832.18,True,True,50.32396125793457
6,98.09%,98.45%,27184.69,16890.32,26887.6,True,True,50.874409914016724
